timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695280996459,507,POST Create,201,Created,Thread Group 1-46,text,true,,715,232,6,6,https://reqres.in/api/users,507,0,98
1695280996966,50,Get List Users,200,OK,Thread Group 1-46,text,true,,1714,127,6,6,https://reqres.in/api/users?page=1,50,0,0
1695280997016,65,Get Single User,200,OK,Thread Group 1-46,text,true,,1008,122,7,7,https://reqres.in/api/users/2,65,0,0
1695280996558,526,POST Create,201,Created,Thread Group 1-47,text,true,,717,232,6,6,https://reqres.in/api/users,526,0,136
1695280997085,50,Get List Users,200,OK,Thread Group 1-47,text,true,,1722,127,6,6,https://reqres.in/api/users?page=1,50,0,0
1695280996656,499,POST Create,201,Created,Thread Group 1-48,text,true,,713,232,6,6,https://reqres.in/api/users,499,0,110
1695280997135,55,Get Single User,200,OK,Thread Group 1-47,text,true,,998,122,7,7,https://reqres.in/api/users/2,55,0,0
1695280997155,47,Get List Users,200,OK,Thread Group 1-48,text,true,,1720,127,6,6,https://reqres.in/api/users?page=1,46,0,0
1695280996757,502,POST Create,201,Created,Thread Group 1-49,text,true,,709,232,7,7,https://reqres.in/api/users,502,0,108
1695280997202,59,Get Single User,200,OK,Thread Group 1-48,text,true,,996,122,7,7,https://reqres.in/api/users/2,59,0,0
1695280997259,47,Get List Users,200,OK,Thread Group 1-49,text,true,,1730,127,6,6,https://reqres.in/api/users?page=1,46,0,0
1695280996857,493,POST Create,201,Created,Thread Group 1-50,text,true,,711,232,6,6,https://reqres.in/api/users,493,0,81
1695280997306,54,Get Single User,200,OK,Thread Group 1-49,text,true,,996,122,6,6,https://reqres.in/api/users/2,54,0,0
1695280997351,68,Get List Users,200,OK,Thread Group 1-50,text,true,,1716,127,6,6,https://reqres.in/api/users?page=1,68,0,0
1695280996957,490,POST Create,201,Created,Thread Group 1-51,text,true,,713,232,6,6,https://reqres.in/api/users,490,0,93
1695280997419,51,Get Single User,200,OK,Thread Group 1-50,text,true,,998,122,7,7,https://reqres.in/api/users/2,51,0,0
1695280997448,53,Get List Users,200,OK,Thread Group 1-51,text,true,,1718,127,6,6,https://reqres.in/api/users?page=1,53,0,0
1695280997056,486,POST Create,201,Created,Thread Group 1-52,text,true,,715,232,6,6,https://reqres.in/api/users,486,0,88
1695280997501,54,Get Single User,200,OK,Thread Group 1-51,text,true,,996,122,6,6,https://reqres.in/api/users/2,54,0,0
1695280997542,61,Get List Users,200,OK,Thread Group 1-52,text,true,,1708,127,6,6,https://reqres.in/api/users?page=1,60,0,0
1695280997603,46,Get Single User,200,OK,Thread Group 1-52,text,true,,1004,122,6,6,https://reqres.in/api/users/2,46,0,0
1695280997156,497,POST Create,201,Created,Thread Group 1-53,text,true,,717,232,5,5,https://reqres.in/api/users,497,0,81
1695280997654,57,Get List Users,200,OK,Thread Group 1-53,text,true,,1716,127,6,6,https://reqres.in/api/users?page=1,57,0,0
1695280997257,475,POST Create,201,Created,Thread Group 1-54,text,true,,709,232,6,6,https://reqres.in/api/users,475,0,79
1695280997712,49,Get Single User,200,OK,Thread Group 1-53,text,true,,1006,122,7,7,https://reqres.in/api/users/2,49,0,0
1695280997732,47,Get List Users,200,OK,Thread Group 1-54,text,true,,1712,127,6,6,https://reqres.in/api/users?page=1,47,0,0
1695280997780,51,Get Single User,200,OK,Thread Group 1-54,text,true,,994,122,6,6,https://reqres.in/api/users/2,51,0,0
1695280997450,481,POST Create,201,Created,Thread Group 1-55,text,true,,719,232,6,6,https://reqres.in/api/users,481,0,86
1695280997458,480,POST Create,201,Created,Thread Group 1-56,text,true,,709,232,6,6,https://reqres.in/api/users,480,0,83
1695280997932,48,Get List Users,200,OK,Thread Group 1-55,text,true,,1716,127,7,7,https://reqres.in/api/users?page=1,48,0,0
1695280997938,50,Get List Users,200,OK,Thread Group 1-56,text,true,,1710,127,7,7,https://reqres.in/api/users?page=1,50,0,0
1695280997981,44,Get Single User,200,OK,Thread Group 1-55,text,true,,996,122,7,7,https://reqres.in/api/users/2,44,0,0
1695280997988,56,Get Single User,200,OK,Thread Group 1-56,text,true,,994,122,6,6,https://reqres.in/api/users/2,56,0,0
1695280997557,500,POST Create,201,Created,Thread Group 1-57,text,true,,713,232,6,6,https://reqres.in/api/users,499,0,83
1695280998057,59,Get List Users,200,OK,Thread Group 1-57,text,true,,1712,127,6,6,https://reqres.in/api/users?page=1,59,0,0
1695280998116,50,Get Single User,200,OK,Thread Group 1-57,text,true,,994,122,7,7,https://reqres.in/api/users/2,50,0,0
1695280997656,522,POST Create,201,Created,Thread Group 1-58,text,true,,713,232,6,6,https://reqres.in/api/users,522,0,93
1695280998179,43,Get List Users,200,OK,Thread Group 1-58,text,true,,1712,127,6,6,https://reqres.in/api/users?page=1,42,0,0
1695280997758,485,POST Create,201,Created,Thread Group 1-59,text,true,,711,232,6,6,https://reqres.in/api/users,485,0,85
1695280998222,59,Get Single User,200,OK,Thread Group 1-58,text,true,,996,122,7,7,https://reqres.in/api/users/2,59,0,0
1695280998243,55,Get List Users,200,OK,Thread Group 1-59,text,true,,1714,127,6,6,https://reqres.in/api/users?page=1,54,0,0
1695280997857,469,POST Create,201,Created,Thread Group 1-60,text,true,,719,232,6,6,https://reqres.in/api/users,469,0,77
1695280998298,68,Get Single User,200,OK,Thread Group 1-59,text,true,,1006,122,7,7,https://reqres.in/api/users/2,68,0,0
1695280998326,45,Get List Users,200,OK,Thread Group 1-60,text,true,,1710,127,6,6,https://reqres.in/api/users?page=1,45,0,0
1695280998371,54,Get Single User,200,OK,Thread Group 1-60,text,true,,996,122,6,6,https://reqres.in/api/users/2,54,0,0
1695280997956,484,POST Create,201,Created,Thread Group 1-61,text,true,,713,232,5,5,https://reqres.in/api/users,483,0,78
1695280998440,54,Get List Users,200,OK,Thread Group 1-61,text,true,,1710,127,6,6,https://reqres.in/api/users?page=1,54,0,0
1695280998056,505,POST Create,201,Created,Thread Group 1-62,text,true,,719,232,7,7,https://reqres.in/api/users,505,0,78
1695280998494,68,Get Single User,200,OK,Thread Group 1-61,text,true,,994,122,7,7,https://reqres.in/api/users/2,68,0,0
1695280998562,50,Get List Users,200,OK,Thread Group 1-62,text,true,,1714,127,6,6,https://reqres.in/api/users?page=1,50,0,0
1695280998612,50,Get Single User,200,OK,Thread Group 1-62,text,true,,1000,122,7,7,https://reqres.in/api/users/2,50,0,0
1695280998158,513,POST Create,201,Created,Thread Group 1-63,text,true,,712,232,6,6,https://reqres.in/api/users,513,0,78
1695280998671,43,Get List Users,200,OK,Thread Group 1-63,text,true,,1716,127,6,6,https://reqres.in/api/users?page=1,42,0,0
1695280998714,49,Get Single User,200,OK,Thread Group 1-63,text,true,,998,122,7,7,https://reqres.in/api/users/2,49,0,0
1695280998257,512,POST Create,201,Created,Thread Group 1-64,text,true,,713,232,6,6,https://reqres.in/api/users,512,0,84
1695280998769,63,Get List Users,200,OK,Thread Group 1-64,text,true,,1720,127,6,6,https://reqres.in/api/users?page=1,63,0,0
1695280998356,515,POST Create,201,Created,Thread Group 1-65,text,true,,709,232,7,7,https://reqres.in/api/users,515,0,93
1695280998833,56,Get Single User,200,OK,Thread Group 1-64,text,true,,994,122,7,7,https://reqres.in/api/users/2,56,0,0
1695280998872,50,Get List Users,200,OK,Thread Group 1-65,text,true,,1714,127,6,6,https://reqres.in/api/users?page=1,50,0,0
1695280998923,47,Get Single User,200,OK,Thread Group 1-65,text,true,,1002,122,7,7,https://reqres.in/api/users/2,47,0,0
1695280998457,524,POST Create,201,Created,Thread Group 1-66,text,true,,717,232,6,6,https://reqres.in/api/users,524,0,111
1695280998981,53,Get List Users,200,OK,Thread Group 1-66,text,true,,1712,127,6,6,https://reqres.in/api/users?page=1,53,0,0
1695280998557,516,POST Create,201,Created,Thread Group 1-67,text,true,,715,232,7,7,https://reqres.in/api/users,516,0,86
1695280999035,58,Get Single User,200,OK,Thread Group 1-66,text,true,,998,122,7,7,https://reqres.in/api/users/2,58,0,0
1695280998656,467,POST Create,201,Created,Thread Group 1-68,text,true,,709,232,6,6,https://reqres.in/api/users,467,0,75
1695280999074,59,Get List Users,200,OK,Thread Group 1-67,text,true,,1714,127,6,6,https://reqres.in/api/users?page=1,59,0,0
1695280999124,47,Get List Users,200,OK,Thread Group 1-68,text,true,,1712,127,7,7,https://reqres.in/api/users?page=1,47,0,0
1695280999133,54,Get Single User,200,OK,Thread Group 1-67,text,true,,1004,122,7,7,https://reqres.in/api/users/2,54,0,0
1695280999171,51,Get Single User,200,OK,Thread Group 1-68,text,true,,996,122,6,6,https://reqres.in/api/users/2,51,0,0
1695280998757,515,POST Create,201,Created,Thread Group 1-69,text,true,,715,232,6,6,https://reqres.in/api/users,515,0,98
1695280999272,51,Get List Users,200,OK,Thread Group 1-69,text,true,,1722,127,6,6,https://reqres.in/api/users?page=1,50,0,0
1695280998857,493,POST Create,201,Created,Thread Group 1-70,text,true,,713,232,6,6,https://reqres.in/api/users,493,0,94
1695280999323,53,Get Single User,200,OK,Thread Group 1-69,text,true,,1000,122,7,7,https://reqres.in/api/users/2,53,0,0
1695280999350,61,Get List Users,200,OK,Thread Group 1-70,text,true,,1716,127,6,6,https://reqres.in/api/users?page=1,61,0,0
1695280998957,495,POST Create,201,Created,Thread Group 1-71,text,true,,709,232,6,6,https://reqres.in/api/users,495,0,98
1695280999411,53,Get Single User,200,OK,Thread Group 1-70,text,true,,996,122,7,7,https://reqres.in/api/users/2,53,0,0
1695280999453,92,Get List Users,200,OK,Thread Group 1-71,text,true,,1716,127,6,6,https://reqres.in/api/users?page=1,91,0,0
1695280999057,525,POST Create,201,Created,Thread Group 1-72,text,true,,713,232,7,7,https://reqres.in/api/users,525,0,98
1695280999545,51,Get Single User,200,OK,Thread Group 1-71,text,true,,998,122,7,7,https://reqres.in/api/users/2,51,0,0
1695280999583,43,Get List Users,200,OK,Thread Group 1-72,text,true,,1722,127,6,6,https://reqres.in/api/users?page=1,43,0,0
1695280999155,497,POST Create,201,Created,Thread Group 1-73,text,true,,713,232,6,6,https://reqres.in/api/users,497,0,95
1695280999626,57,Get Single User,200,OK,Thread Group 1-72,text,true,,1002,122,7,7,https://reqres.in/api/users/2,57,0,0
1695280999652,43,Get List Users,200,OK,Thread Group 1-73,text,true,,1708,127,6,6,https://reqres.in/api/users?page=1,43,0,0
1695280999695,55,Get Single User,200,OK,Thread Group 1-73,text,true,,1002,122,6,6,https://reqres.in/api/users/2,55,0,0
1695280999255,519,POST Create,201,Created,Thread Group 1-74,text,true,,715,232,6,6,https://reqres.in/api/users,519,0,97
